workflow,category,decision,priority,why,value,overlap,root_cause_signature,evidence_refs,fix_needed
.github/workflows/forecast-daily.yml,DANGEROUS,REPAIR,P0,total30=4; success_rate_30=75%; failures_30=1; manual_only=False; writes=True; concurrency=False,Forecast generation/training/reporting for user-facing forecast data,LOW,CIRCUIT OPEN: Missing price data 80.7% exceeds threshold 5%,.github/workflows/forecast-daily.yml; run:21766433410,YES
.github/workflows/forecast-monthly.yml,DANGEROUS,REPAIR,P0,total30=0; success_rate_30=0%; failures_30=0; manual_only=False; writes=True; concurrency=False,Forecast generation/training/reporting for user-facing forecast data,MEDIUM (manual/scheduled niche),NONE,.github/workflows/forecast-monthly.yml; none,YES
.github/workflows/forecast-weekly.yml,DANGEROUS,REPAIR,P0,total30=1; success_rate_30=100%; failures_30=0; manual_only=False; writes=True; concurrency=False,Forecast generation/training/reporting for user-facing forecast data,LOW,NONE,.github/workflows/forecast-weekly.yml; none,YES
.github/workflows/ci-determinism.yml,ACTIVE_BROKEN,REPAIR,P1,total30=16; success_rate_30=68%; failures_30=4; manual_only=False; writes=False; concurrency=True,Quality/safety gate before merge/deploy,LOW,missingProperty: 'generated_at' };,.github/workflows/ci-determinism.yml; run:21806609129,YES
.github/workflows/ci-policy.yml,STALE,KEEP,P3,total30=12; success_rate_30=91%; failures_30=0; manual_only=False; writes=True; concurrency=True,Quality/safety gate before merge/deploy,LOW,NONE,.github/workflows/ci-policy.yml; none,NO
.github/workflows/eod-history-refresh.yml,ACTIVE_HEALTHY,KEEP,P3,total30=5; success_rate_30=100%; failures_30=0; manual_only=False; writes=True; concurrency=True,Publishes market EOD datasets used by downstream pipelines,LOW,NONE,.github/workflows/eod-history-refresh.yml; none,NO
.github/workflows/forecast-rollback.yml,MANUAL_TOOL,DEPRECATE+ARCHIVE,P2,total30=0; success_rate_30=0%; failures_30=0; manual_only=True; writes=True; concurrency=True,Forecast generation/training/reporting for user-facing forecast data,MEDIUM (manual/scheduled niche),NONE,.github/workflows/forecast-rollback.yml; none,OPTIONAL
.github/workflows/ops-auto-alerts.yml,ACTIVE_HEALTHY,KEEP,P3,total30=4; success_rate_30=100%; failures_30=0; manual_only=False; writes=False; concurrency=True,"Operational observability, liveness and automation control",LOW,NONE,.github/workflows/ops-auto-alerts.yml; none,NO
.github/workflows/universe-refresh.yml,MANUAL_TOOL,KEEP,P3,total30=1; success_rate_30=100%; failures_30=0; manual_only=True; writes=True; concurrency=False,Workflow utility / support,LOW,NONE,.github/workflows/universe-refresh.yml; none,NO
.github/workflows/monitor-prod.yml,ACTIVE_BROKEN,REPAIR,P0,total30=3; success_rate_30=0%; failures_30=3; manual_only=False; writes=False; concurrency=False,"Operational observability, liveness and automation control",LOW,curl: (22) The requested URL returned error: 403,.github/workflows/monitor-prod.yml; run:21895644780,YES
